,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
0,40369424-e9f1-4569-bde5-09482e5d8462,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,This app is fantastic. It's way better than some of the therapists you get online. It uses casual text language and has a number of tools and resources in its library. It feels at times like you're chatting with a real empathetic person on the other side. I can only imagine it getting better with the GenAI revolution.,5,4,6.3.3,2024-05-18 21:12:46,👏 We love your feedback! Thank you very much for sharing it with us. 💕,2024-05-20 12:34:48,6.3.3
1,665719fd-9cb9-4199-b5a8-b4be25cc12ef,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Checking in on this app really helped me get through some tough times the past 8 weeks. I was struggling with depression, grief, and anxiety. It was helpful to have a quick way to check in and learn new coping skills, get help if I had a problem, and just track my moods and progress. It's a great app in addition to therapy or if you aren't in therapy but want to learn some of the basics of CBT. My mental health has improved since I started implementing some skills I learned through this app.",5,21,5.2.1,2023-05-02 11:34:40,"Hi Samantha, thank you so much for taking the time to share your experience with Woebot. We're honored to hear that our app has been a valuable resource for you during a difficult time in your life. Wishing you continued success on your mental health journey!",2023-05-02 14:57:20,5.2.1
2,b0426bf5-2c5d-4255-9030-f09fe5144754,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"It's so good. Free, no ads, and a ton of helpful activities from CBT. I've used these techniques before, but being guided through is so much more helpful and I am able to use it more often. I hope they never ruin the app with ads or putting things behind paywall. I would much rather send a donation, because that so it's just awesome as it is.",5,23,5.0.2,2023-03-02 21:12:32,"Hi Candye, thanks so much for the review and using Woebot! We want to remove the barriers to mental healthcare and make it more accessible, so hearing this means a lot. We really appreciate it! ❤️",2023-03-03 07:48:35,5.0.2
3,49dd6945-8106-48bd-ae21-a049c321a292,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"As someone who has dealt with hard problems in their life, this app is truly amazing. I can choose to get things off my chest, talk about it, or get distracted from it. I get to see vivid stories about other people (most likely made up but that doesnt matter) that make me see that my issues are shared among many people. It has taught me that I am not alone. In a way, it can be like a teacher too since it shows you new terminology and ways to rid of negative thoughts. Love this app ♡",5,27,3.13.2,2020-01-07 20:37:49,,,3.13.2
4,8d730df5-8ceb-41e8-861e-c0728fd6c47d,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"I've been using this app everyday for about two months. In theory, the bot should be learning about me or identifying trends, but that never happens. The ""mood over time"" screen will only show your mood over the last 5 days or so, and there's nonway to look back further in time. There is no feedback for CBT. This is not a therapy app, its more of an educational app. But I could have learned those skills faster by reading some online articles instead of a back-and-forth convo with a bot.",2,12,3.6.1,2019-08-10 09:59:38,Thanks for your feedback Nicole!  We really value suggestions like these so that we can improve Woebot for everyone.  Many users have requested to see all of their mood points rather than just the last 5 and that is a feature that is definitely on our roadmap.  We are also planning ways to utilize Woebot's memory.  Stay tuned!,2019-08-10 10:12:53,3.6.1
5,dd859a24-089d-44af-9af7-55ef7189848c,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Woebot doesn't parse free-form responses very well, and most of the time you're restricted to choosing from a few response options, which often means my responses don't reflect what I actually think or feel. That said, the info is presented in nice bite-size pieces, and I appreciate that Woebot checks in with me so I don't have to remember to do it. As a supplement to other treatments or as a little boost to deal with minor issues, it's worth trying.",4,2,,2020-10-09 03:55:16,,,
6,4e36c5b4-49a5-4a46-82ad-18aac54a65af,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"This app ""checks in"" once a day to help through cognitive behavioral therapy. Though it doesnt say anything new or ground breaking, it's useful in the sense that it is a constant reminder to change bad thought patterns more positive. Each check in is really short, maybe 5 minutes, and i find it quite enjoyable to interact with.",5,1,3.4.2,2019-06-07 11:15:35,,,3.4.2
7,a794b773-4116-4a41-ba56-842eed698e1b,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Seeing some one star reviews that say this app is not good for their depression/emergencies -- well duh, it states the first time you open it that it is not meant for emergency and if you are having one you need to message 911 or 'help' (can't remember which); to assume a well programmed chatbot will be able to help you out of a deep depression in a day is ludicrous. It also doesn't require users choose provided replies--you can go into the options & type your own. 4/5, needs more deep learning",4,2,3.6.1,2019-08-14 18:24:38,,,3.6.1
8,db94dcfb-26e6-40d7-a6bd-43c37ce7538d,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"I like this app a lot, when messages send the way theyre supposed to. Woebot is designed to give you the tools you need in your toolbox to help yourself through CBT, and how much it will help you really depends on your level of commitment to implementing what you've been taught. My only real complaint is that I wish there was a way to track your moods for longer periods of time, like several months at once, within the app-- that would really help with spotting patterns in my moods.",4,7,3.6.1,2019-08-20 17:39:19,,,3.6.1
9,b81d9fe9-6c5b-4932-8fa9-18db3ce327fa,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Pretty good! Useful tools, ability to just write out your feelings, and very educational. My only suggestion would be to provide a ""back"" function. Certain keywords will prompt Woebot to respond a certain way that might not make sense. There have been couple times I've gotten ""stuck"" in a conversation that didn't make sense. It was no biggie, I just started the lesson over, but a back function would help with this. Otherwise, great app!",5,12,3.26.0,2020-10-17 18:33:24,,,3.26.0
10,1164dd8b-fbf3-42b7-9969-13e39e143923,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Woebot was recommended to me by my mental health counselor to help me process some anxiety and negative thoughts. I don't know if it's more helpful than journaling, but I usually don't know where to start when I sit down to journal. I think this app is helpful in directing and focusing your thoughts. It's a little cutesy and obviously limited in it's responses, you're really only going to get out what you put in. I think it's a helpful guide as long as you're willing to do the work.",5,3,3.27.2,2021-04-05 13:40:07,"Hey Micah ,

We appreciate the time you have taken to share your experience using Woebot. We love receiving input from our incredible community and seeing Woebot make a difference!

We're thrilled to hear that you enjoy interacting with Woebot and thank you so much for reaching out to us with your feedback!

Have a wonderful day! 🤖

All the best",2021-04-06 03:21:56,3.27.2
11,a3d3089f-b377-4b05-9b24-29394470a0bb,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"I have used Woebot for well over a year. It's great at helping you identify thinking errors and helping you change your thoughts which then helps change your feelings. I always feel much better and have gained knowledge (or reminders) on how to better help my thinking daily and help others change theirs'. Great app. Great CBT evidence based practices. Thank you for this app. I also refer my clients to use this app to help their anxiety, depression or thinking errors.",5,7,4.0.1,2021-07-21 14:48:32,"Hey Jennifer​,

We love receiving input from our incredible community and seeing Woebot make a difference! We're thrilled to hear that you enjoy interacting with Woebot and thank you so much for reaching out to us with your feedback!

Have a wonderful day! 🤖

All the best",2021-07-22 08:00:21,4.0.1
